id,brand,car_model,type,desc,problem,datetime,status
486716,上汽斯柯达,速派,2013款 1.4T DSG 绅仕版,斯柯达速派起步时变速箱故障无法行驶,"B84,",2020-06-21,信息审核
486707,吉利汽车,博越,2020款 1.8TD DCT 智慧PRO,吉利博越宣传与实车不符无挡位灯,"M279,",2020-06-21,信息审核
486706,上汽大众,桑塔纳,2017款 1.6L 手动 风尚型 Cross,上汽大众桑塔纳韩泰轮胎开裂半轴球笼漏油,"F100,G56,G161,",2020-06-21,信息审核
486705,吉利汽车,星越,2019款 改款 350T 耀星者,吉利星越车机系统升级后卡顿问题解决,"O348,",2020-06-21,信息审核
486704,东风本田,本田CR-V,2015款 2.4L 两驱 豪华版,东风本田CR-V发动机熄火希望厂家处理,"A14,J298,J301,",2020-06-21,信息审核
486700,众泰汽车,众泰E200,2018款 Pro,众泰E200行驶过程中失去动力存在安全隐患,"A346,I295,L310,N318,",2020-06-21,信息审核
486699,一汽-大众,探岳,2019款 330TSI 两驱 尊贵型 国V,一汽大众探岳大灯亮度严重不足影响安全,"H82,",2020-06-21,信息审核
486698,奇瑞汽车,瑞虎5x,2019款 HERO 1.5T DCT 高能版,奇瑞瑞虎5x车机系统反应慢断线希望厂家解决,"H21,H155,",2020-06-21,信息审核
486696,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统死机系统与宣传不符,"H155,M279,",2020-06-21,信息审核
486694,吉利汽车,远景X6,2016款 1.3T CVT 豪华型,吉利远景X6发动机冷车启动困难转速低,"A44,A35,",2020-06-21,信息审核
486691,一汽-大众奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,一汽大众奥迪A4L空调风口吹自然风有异味,"H121,I295,J298,",2020-06-21,信息审核
486690,上汽大众,途观L,2018款 330TSI 自动 两驱 舒适版,上汽大众途观L车辆无法启动要求厂家处理,"B22,E74,E62,I295,",2020-06-21,信息审核
486687,广汽本田,雅阁,2016款 2.0L CVT  舒适版,广汽本田雅阁转向机异响更换后未解决,"D59,",2020-06-21,信息审核
486685,华晨中华,中华V3,2019款 1.5L 自动 精英型,中华V3电瓶无故没电存在漏电现象,"H146,",2020-06-21,信息审核
486684,比亚迪,比亚迪e5,2018款 450 智联 畅享型,比亚迪e5动力电池故障4S店服务态度恶劣,"H343,I295,I293,I282,I281,J298,J303,N318,",2020-06-21,处理反馈
486683,东风本田,杰德,2016款 1.8L 自动 舒适精英版 5座,东风本田杰德左前升降器故障4S店拒赔,"H72,H67,I297,",2020-06-21,信息审核
486682,东风乘用车,风神AX7,2016款 2.0L 自动 智悦型,东风风神AX7车身生锈腐蚀希望厂家处理,"H79,I297,",2020-06-21,厂家受理
486678,吉利汽车,嘉际,2019款 1.5TD MHEV DCT 尊享型,吉利嘉际流光氛围灯虚假宣传与实车不符,"M279,",2020-06-21,信息审核
486677,东风本田,本田UR-V,2017款 240TURBO 两驱 经典版 国V,东风本田UR-V后备箱严重漏水车胎偏磨,"G245,",2020-06-21,处理反馈
486675,上汽大通,上汽MAXUS G10,2021款 2.0T 手动 精英版 柴油 7座,上汽大通G10后备箱门把手断裂厂家拒赔,"H233,I297,",2020-06-21,处理反馈
486672,上汽大众,朗逸,2017款 1.6L 手动 舒适版,上汽大众朗逸车内异响服务态度恶劣,"H164,",2020-06-21,信息审核
486668,众泰汽车,众泰T800,2018款 2.0T 尊贵智联型 7座,众泰T800中控台异响 变速箱故障灯亮,"B96,B246,H93,",2020-06-21,信息审核
486665,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5导水槽漏水导致涡轮生锈,"H109,",2020-06-21,信息审核
486664,吉利新能源,星越新能源,2019款 改款 400T 耀星者 纯电动续航56KM,吉利星越新能源车机死机要求更换硬件,"H155,M279,",2020-06-21,信息审核
486661,一汽大众,捷达VS5,2019款 280TSI 自动 悦享型,一汽大众捷达VS5低速行驶中右前轮异响,"G125,",2020-06-21,信息审核
486655,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统出现死机现象希望尽快处理,"H155,M279,",2020-06-21,信息审核
486653,东风风行,景逸X3,2016款 1.5L 豪华型,东风风行景逸X3行驶中右后下摆臂断裂,"G210,H168,",2020-06-21,信息审核
486650,吉利汽车,星越,2019款 350T 耀星者,吉利星越车机系统黑屏版本与宣传不符,"H155,M279,",2020-06-21,信息审核
486648,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越雾灯以及挡位灯与宣传不符,"Q350,",2020-06-21,信息审核
486643,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越实车配置与宣传不符要求解决,"M279,",2020-06-21,信息审核
